title,description,type_collected_display,type_collected_code,type_collected_system,collection_display,collection_system,collection_code,patient_preparation_system,patient_preparation_code,patient_preparation_display,is_derived,single_use,preference,container_cap_display,container_cap_code,container_cap_system,container_minimumvolume,container_minimumvolume_unit_display,container_minimumvolume_unit_code,container_minimumvolume_unit_system,container_capacity_value,container_capacity_unit_display,container_capacity_unit_code,container_capacity_unit_system,retention_time_value,retention_time_unit_code,retention_time_unit_display,retention_time_unit_system,requirement,container_description,container_preparation,,,,,,,,,,,,,,,
Complete blood count,"A comprehensive blood test that measures red cells, white cells, haemoglobin levels, haematocrit, platelets, and related indices. It is used to assess overall health, detect anaemia, infection, inflammation, bleeding disorders, and to monitor various medical conditions.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect into EDTA anticoagulated tube; ensure proper mixing to avoid platelet clumping,Sample should be properly mixed to prevent clotting. Smear may be needed for morphology and manual differential if flagged by analyser.,Invert tube 8–10 times immediately after collection; avoid haemolysis and ensure correct fill volume,,,,,,,,,,,,,,,
Hemoglobin (Venipuncture),"Measures the haemoglobin concentration in blood to assess oxygen-carrying capacity and aid in evaluation of anaemia, bleeding disorders, nutritional deficiencies, or general health status.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect into EDTA anticoagulated tube.,Sample should be mixed gently to avoid clotting. Ensure tube is filled to the correct volume.,Invert tube 8–10 times immediately after collection; avoid haemolysis.,,,,,,,,,,,,,,,
Hemoglobin (Finger Prick),"Measures the haemoglobin concentration in blood to assess oxygen-carrying capacity and aid in evaluation of anaemia, bleeding disorders, nutritional deficiencies, or general health status.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect into EDTA anticoagulated tube.,Haemoglobin testing through digital haemoglobinometer,Invert tube 8–10 times immediately after collection; avoid haemolysis.,,,,,,,,,,,,,,,
Total leucocyte count,"Measures the total number of white blood cells in blood to help evaluate infection, inflammation, immune status, and haematological disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect into EDTA anticoagulated tube.,"Mix sample gently after collection. Avoid clots, as they can falsely lower the count.",Invert tube 8–10 times to ensure proper mixing; avoid haemolysis.,,,,,,,,,,,,,,,
Differential leucocyte count,"Analyses the percentage distribution of different types of white blood cells (neutrophils, lymphocytes, monocytes, eosinophils, basophils) to help diagnose infections, inflammatory conditions, allergic responses, and haematological disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect in EDTA tube; prepare peripheral smear promptly for optimal morphology,Blood smear should be made soon after collection to prevent artefacts. Ensure no clots are present.,Invert tube 8–10 times to mix; avoid haemolysis. Prepare smear immediately if possible.,,,,,,,,,,,,,,,
Platelet count,"Measures the number of platelets in blood to assess bleeding risk, clotting disorders, bone marrow function, and to monitor conditions like thrombocytopenia or thrombocytosis.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect into EDTA anticoagulated tube; ensure proper mixing to avoid platelet clumping,"Check for clots or platelet aggregation. If clumping occurs, a repeat sample or citrate tube may be required.",Invert tube 8–10 times immediately after collection; avoid haemolysis,,,,,,,,,,,,,,,
Absolute eosinophil count,"Measures the total number of eosinophils in the blood. Helps evaluate allergic conditions, parasitic infections, drug reactions, autoimmune diseases, and disorders causing eosinophilia.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect in EDTA tube; ensure proper mixing to avoid clumping or inaccurate counts.,Automated analysers typically calculate AEC from WBC count and differential. Manual counting may be performed if flagged. Avoid haemolysed or clotted samples.,Invert tube 8–10 times after collection; avoid haemolysis,,,,,,,,,,,,,,,
Peripheral blood film,"A microscopic evaluation of a blood smear used to assess red cells, white cells, and platelets. Helps diagnose anaemias, infections, haemolytic disorders, blood cell morphology abnormalities, and supports interpretation of abnormal CBC results.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,12,h,hours,http://unitsofmeasure.org,Collect sample in EDTA tube; prepare smear promptly to preserve cell morphology.,"Smear should be well-made with a feathered edge and stained appropriately (e.g., Leishman, Wright, or Giemsa stain). Avoid clotted or haemolysed samples. Delayed smear preparation may alter cell shapes and staining characteristics.",Invert tube 8–10 times; prepare smear immediately after collection when possible.,,,,,,,,,,,,,,,
Blood group (ABO),"Determines an individual’s ABO blood group and Rh (D) factor. This test is essential for safe blood transfusions, pregnancy care, medical procedures, and emergency treatment planning.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect in EDTA tube; proper labelling and patient identification are critical,"Sample must be clearly labelled to avoid mismatch errors. Testing includes forward and reverse grouping, along with Rh factor determination. Repeat testing may be required for transfusion verification.",Invert tube 8–10 times immediately after collection. Avoid haemolysis.,,,,,,,,,,,,,,,
Blood group (Rh typing),"Determines an individual’s ABO blood group and Rh (D) factor. This test is essential for safe blood transfusions, pregnancy care, medical procedures, and emergency treatment planning.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect in EDTA tube; proper labelling and patient identification are critical,"Sample must be clearly labelled to avoid mismatch errors. Testing includes forward and reverse grouping, along with Rh factor determination. Repeat testing may be required for transfusion verification.",Invert tube 8–10 times immediately after collection. Avoid haemolysis.,,,,,,,,,,,,,,,
